epoch,lr,train_loss,val_loss,train_cls_loss,val_cls_loss,train_hr_loss,val_hr_loss,train_acc,val_acc,val_hr_mae,val_hr_rmse
1,0.0008,0.6471279774664452,0.6227055428410515,0.5719778587435158,0.5617907335803767,0.3757505932954907,0.3045740402203871,0.8638205499276411,0.9143022582513028,10.961955070495605,14.505574226379395
2,0.0008,0.4730535573276183,0.45196258041578424,0.42752717853282535,0.4153156137286961,0.22763189205039944,0.18323484223635816,0.9318379160636758,0.950781702374059,8.122697830200195,11.015535354614258
3,0.0008,0.4213431028829815,0.4057168218533152,0.3897683613983491,0.3797948236540003,0.15787370723554953,0.12960998156578746,0.9536903039073806,0.9490445859872612,6.739943504333496,9.185959815979004
4,0.0008,0.39807681778577925,0.39086428747124663,0.37122990728804756,0.3626763776471039,0.13423455332105308,0.14093956841370517,0.965123010130246,0.9739432541980313,7.108026027679443,9.718646049499512
5,0.0008,0.384007182324847,0.3738281260906235,0.3606388618304312,0.3559895979578121,0.1168416006606498,0.08919261525787918,0.9730101302460202,0.9745222929936306,5.408616065979004,7.773587226867676
6,0.0008,0.37464265357568194,0.3688678761127717,0.3533114999058278,0.35390227168505084,0.10665576802580125,0.07482802874360667,0.9748914616497829,0.973364215402432,4.749055862426758,7.244168281555176
7,0.0008,0.3698913905882801,0.36434705670196055,0.34893612913388417,0.3503094361431694,0.1047763088440412,0.0701881149340449,0.9774963820549928,0.9745222929936306,4.662527084350586,7.025745391845703
8,0.0008,0.36600738739656813,0.3664833821861055,0.34612468059259627,0.3512660045636204,0.09941353148817153,0.07608688312092474,0.9772069464544139,0.9808917197452229,5.052590370178223,7.248950481414795
9,0.0008,0.3624132554713965,0.35329315045629545,0.34387875344232266,0.3391446654653025,0.09267251237299612,0.07074244703059951,0.9797395079594791,0.9774174869716271,4.782488822937012,7.0202250480651855
10,0.0008,0.35963098562919626,0.4117034562039941,0.34118074405555615,0.39519552631949717,0.09225121116112006,0.08253963371888709,0.9800289435600579,0.9629415170816444,5.252803802490234,7.469743251800537
11,0.0008,0.35808155936891195,0.3567664018240566,0.34019868887971694,0.34340213257312496,0.08941435905769143,0.06682134269546344,0.9795947901591896,0.9774174869716271,4.465169429779053,6.870226860046387
12,0.0008,0.3560887963226666,0.3494364018721876,0.33851904175561004,0.3353189554563753,0.08784877355769816,0.07058721933498781,0.980246020260492,0.9797336421540244,4.854893207550049,6.989352703094482
13,0.0008,0.3561451887515105,0.3425122327761769,0.33834941789141265,0.3300545231655421,0.0889788532912645,0.06228854030922927,0.9804630969609262,0.9843659525188188,4.320080280303955,6.649169445037842
14,0.0008,0.3532967372672085,0.34577559945068403,0.33605427283971595,0.33216895427949594,0.08621231963596537,0.0680332140092154,0.9803907380607815,0.984944991314418,4.602639198303223,6.886837959289551
